"filename", "language", "JSON", "Properties", "JavaScript", "Markdown", "HTML", "TypeScript", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\src\app\home-navbar\home-navbar.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 101, 0, 0, 7, 108
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\src\app\home-navbar\home-navbar.component.ts", "TypeScript", 0, 0, 0, 0, 0, 71, 0, 0, 0, 13, 84
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\src\app\home\home.component.html", "HTML", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 10
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\src\app\home\home.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 13
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\src\app\home\home.component.ts", "TypeScript", 0, 0, 0, 0, 0, 11, 0, 0, 0, 5, 16
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\src\app\lesson-edit-modal\lesson-edit-modal.component.html", "HTML", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 33
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\src\app\lesson-edit-modal\lesson-edit-modal.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 188, 0, 0, 36, 224
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\src\app\lesson-edit-modal\lesson-edit-modal.component.ts", "TypeScript", 0, 0, 0, 0, 0, 71, 0, 0, 5, 12, 88
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\src\app\lesson-modal\lesson-modal.component.html", "HTML", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 33
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\src\app\lesson-modal\lesson-modal.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 190, 0, 0, 36, 226
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\src\app\lesson-modal\lesson-modal.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 0, 0, 0, 6, 26
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\src\app\lesson-modal\lesson-modal.component.ts", "TypeScript", 0, 0, 0, 0, 0, 74, 0, 0, 4, 13, 91
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\src\app\login\login.component.html", "HTML", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 35
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\src\app\login\login.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 185, 0, 0, 33, 218
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\src\app\login\login.component.ts", "TypeScript", 0, 0, 0, 0, 0, 70, 0, 0, 5, 14, 89
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\src\app\main-navbar\main-navbar.component.html", "HTML", 0, 0, 0, 0, 20, 0, 0, 0, 0, 1, 21
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\src\app\main-navbar\main-navbar.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 96, 0, 0, 6, 102
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\src\app\main-navbar\main-navbar.component.ts", "TypeScript", 0, 0, 0, 0, 0, 49, 0, 0, 0, 12, 61
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\src\app\main\main.component.html", "HTML", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 11
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\src\app\main\main.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 13
"c:\Users\Arnas\Desktop\Bakalauras\Frontas\Bakalauras\src\app\main\main.component.ts", "TypeScript", 0, 0, 0, 0, 0, 11, 0, 0, 0, 5, 16
